Mision 1 time to mars: 231 days, 22 hours, 41 minutes, 20 seconds.
Mision 352 time to mars: 317 days, 7 hours, 55 minutes, 9 seconds.
Mision 353 time to mars: 342 days, 15 hours, 49 minutes, 41 seconds.
Mision 354 time to mars: 325 days, 3 hours, 28 minutes, 31 seconds.
Mision 355 time to mars: 491 days, 6 hours, 34 minutes, 42 seconds.
Mision 356 time to mars: 299 days, 9 hours, 49 minutes, 47 seconds.
Mision 357 time to mars: 438 days, 17 hours, 2 minutes, 43 seconds.
Mision 358 time to mars: 315 days, 7 hours, 12 minutes, 31 seconds.
Mision 359 time to mars: 204 days, 9 hours, 56 minutes, 24 seconds.
Mision 360 time to mars: 898 days, 19 hours, 47 minutes, 26 seconds.
Mision 361 time to mars: 82 days, 19 hours, 53 minutes, 33 seconds.
Mision 362 time to mars: 312 days, 10 hours, 59 minutes, 38 seconds.
Mision 363 time to mars: 314 days, 17 hours, 29 minutes, 12 seconds.
Mision 364 time to mars: 269 days, 21 hours, 8 minutes, 1 seconds.
Mision 365 time to mars: 842 days, 4 hours, 11 minutes, 13 seconds.
Mision 366 time to mars: 518 days, 0 hours, 36 minutes, 16 seconds.
Mision 367 time to mars: 263 days, 1 hours, 11 minutes, 25 seconds.
Mision 368 time to mars: 487 days, 16 hours, 18 minutes, 8 seconds.
Mision 369 time to mars: 379 days, 21 hours, 49 minutes, 45 seconds.
Mision 370 time to mars: 278 days, 6 hours, 22 minutes, 18 seconds.
Mision 371 time to mars: 90 days, 16 hours, 52 minutes, 14 seconds.
Mision 372 time to mars: 149 days, 6 hours, 7 minutes, 19 seconds.
Mision 373 time to mars: 133 days, 10 hours, 16 minutes, 51 seconds.
Mision 374 time to mars: 580 days, 7 hours, 9 minutes, 1 seconds.
Mision 375 time to mars: 157 days, 0 hours, 1 minutes, 54 seconds.
Mision 376 time to mars: 280 days, 11 hours, 46 minutes, 2 seconds.
Mision 377 time to mars: 689 days, 20 hours, 4 minutes, 13 seconds.
